altitude,availableBikes,availableDocks,city,id,is_renting,kioskType,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,status,statusKey,statusValue,testStation,totalDocks
0.0,18,17,Chicago,52,True,True,Chicago,2020-04-19 21:14:26,41.886024,Chicago,-87.624117,60602,Chicago,Chicago,Michigan Ave & Lake St,IN_SERVICE,1,IN_SERVICE,False,35
0.0,10,17,Chicago,53,True,True,Chicago,2020-04-19 22:28:41,41.894722,Chicago,-87.634362,60602,Chicago,Chicago,Wells St & Huron St,IN_SERVICE,1,IN_SERVICE,False,27
0.0,15,4,Chicago,54,True,True,Chicago,2020-04-19 21:39:19,41.896362458,Chicago,-87.6540612729,60602,Chicago,Chicago,Ogden Ave & Chicago Ave,IN_SERVICE,1,IN_SERVICE,False,19
0.0,12,11,Chicago,55,True,True,Chicago,2020-04-19 19:24:45,41.867324,Chicago,-87.648625,60602,Chicago,Chicago,Halsted St & Roosevelt Rd,IN_SERVICE,1,IN_SERVICE,False,23
0.0,5,22,Chicago,56,True,True,Chicago,2020-04-19 21:51:11,41.888716036,Chicago,-87.6444478533,60602,Chicago,Chicago,Desplaines St & Kinzie St,IN_SERVICE,1,IN_SERVICE,False,27
0.0,11,4,Chicago,57,True,True,Chicago,2020-04-19 21:18:14,41.8671177825,Chicago,-87.6410879593,60602,Chicago,Chicago,Clinton St & Roosevelt Rd,IN_SERVICE,1,IN_SERVICE,False,15
0.0,10,11,Chicago,58,True,True,Chicago,2020-04-19 18:45:36,41.916017,Chicago,-87.668879,60602,Chicago,Chicago,Marshfield Ave & Cortland St,IN_SERVICE,1,IN_SERVICE,False,23
0.0,18,5,Chicago,59,True,True,Chicago,2020-04-19 22:42:25,41.867227,Chicago,-87.625961,60602,Chicago,Chicago,Wabash Ave & Roosevelt Rd,IN_SERVICE,1,IN_SERVICE,False,23
0.0,6,13,Chicago,60,True,True,Chicago,2020-04-19 18:46:42,41.9105780349,Chicago,-87.6494219288,60602,Chicago,Chicago,Dayton St & North Ave,IN_SERVICE,1,IN_SERVICE,False,19
0.0,11,8,Chicago,61,True,True,Chicago,2020-04-19 18:02:42,41.907655,Chicago,-87.672552,60602,Chicago,Chicago,Wood St & Milwaukee Ave,IN_SERVICE,1,IN_SERVICE,False,19
0.0,15,12,Chicago,62,True,True,Chicago,2020-04-19 17:27:03,41.8513751729,Chicago,-87.6188346489,60602,Chicago,Chicago,McCormick Place,IN_SERVICE,1,IN_SERVICE,False,27
0.0,19,4,Chicago,66,True,True,Chicago,2020-04-19 21:16:54,41.885637,Chicago,-87.641823,60602,Chicago,Chicago,Clinton St & Lake St,IN_SERVICE,1,IN_SERVICE,False,23
0.0,7,20,Chicago,67,True,True,Chicago,2020-04-19 23:05:05,41.9256018819,Chicago,-87.6537080423,60602,Chicago,Chicago,Sheffield Ave & Fullerton Ave,IN_SERVICE,1,IN_SERVICE,False,27
0.0,5,18,Chicago,68,True,True,Chicago,2020-04-19 13:24:46,41.875885,Chicago,-87.640795,60602,Chicago,Chicago,Clinton St & Tilden St,IN_SERVICE,1,IN_SERVICE,False,23
0.0,17,6,Chicago,69,True,True,Chicago,2020-04-19 22:17:04,41.9093960065,Chicago,-87.6776919292,60602,Chicago,Chicago,Damen Ave & Pierce Ave,IN_SERVICE,1,IN_SERVICE,False,23
0.0,6,17,Chicago,71,True,True,Chicago,2020-04-19 21:29:26,41.8854833079,Chicago,-87.6523048564,60602,Chicago,Chicago,Morgan St & Lake St,IN_SERVICE,1,IN_SERVICE,False,23
0.0,13,26,Chicago,72,True,True,Chicago,2020-04-19 18:34:28,41.860384,Chicago,-87.625813,60602,Chicago,Chicago,Wabash Ave & 16th St,IN_SERVICE,1,IN_SERVICE,False,39
0.0,9,10,Chicago,73,True,True,Chicago,2020-04-19 20:34:15,41.880422,Chicago,-87.642746,60602,Chicago,Chicago,Jefferson St & Monroe St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,8,15,Chicago,74,True,True,Chicago,2020-04-19 22:52:27,41.89380805624359,Chicago,-87.64169722795485,60602,Chicago,Chicago,Kingsbury St & Erie St,IN_SERVICE,1,IN_SERVICE,False,23
0.0,25,22,Chicago,75,True,True,Chicago,2020-04-19 13:03:34,41.877245,Chicago,-87.639366,60602,Chicago,Chicago,Canal St & Jackson Blvd,IN_SERVICE,1,IN_SERVICE,False,47
0.0,19,20,Chicago,76,True,True,Chicago,2020-04-19 17:03:17,41.880958,Chicago,-87.616743,60602,Chicago,Chicago,Lake Shore Dr & Monroe St,IN_SERVICE,1,IN_SERVICE,False,39
0.0,18,13,Chicago,77,True,True,Chicago,2020-04-19 19:42:27,41.882242,Chicago,-87.641066,60602,Chicago,Chicago,Clinton St & Madison St,IN_SERVICE,1,IN_SERVICE,False,31
0.0,6,12,Chicago,80,True,True,Chicago,2020-04-19 20:18:14,41.880419,Chicago,-87.655519,60602,Chicago,Chicago,Aberdeen St & Monroe St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,20,19,Chicago,81,True,True,Chicago,2020-04-19 17:34:28,41.884241,Chicago,-87.629634,60602,Chicago,Chicago,Daley Center Plaza,IN_SERVICE,1,IN_SERVICE,False,39
0.0,8,10,Chicago,84,True,True,Chicago,2020-04-19 20:04:54,41.891578,Chicago,-87.648384,60602,Chicago,Chicago,Milwaukee Ave & Grand Ave,IN_SERVICE,1,IN_SERVICE,False,19
0.0,7,16,Chicago,85,True,True,Chicago,2020-04-19 22:04:46,41.90096039,Chicago,-87.62377664,60602,Chicago,Chicago,Michigan Ave & Oak St,IN_SERVICE,1,IN_SERVICE,False,23
0.0,9,10,Chicago,86,True,True,Chicago,2020-04-19 19:30:53,41.89637337,Chicago,-87.66098386,60602,Chicago,Chicago,Eckhart Park,IN_SERVICE,1,IN_SERVICE,False,19
0.0,3,16,Chicago,87,True,True,Chicago,2020-04-19 18:56:35,41.92556258,Chicago,-87.65840426,60602,Chicago,Chicago,Racine Ave & Fullerton Ave,IN_SERVICE,1,IN_SERVICE,False,19
